sensor, date, amplitude
Sensor 17,20250525,40.66
Sensor 17,20250526,12.85
Sensor 17,20250527,14.53
Sensor 17,20250528,9.76
Sensor 17,20250529,35.49
Sensor 17,20250530,18.12
Sensor 17,20250531,32.16
Sensor 17,20250601,13.66
Sensor 17,20250602,9.16
Sensor 17,20250603,1.35
Sensor 18,20250504,0.00
Sensor 18,20250505,12.34
Sensor 18,20250506,1.75
Sensor 18,20250507,4.04
Sensor 18,20250508,14.43
Sensor 18,20250509,22.60
Sensor 18,20250510,23.11
Sensor 18,20250511,28.22
Sensor 18,20250512,0.71
Sensor 18,20250513,3.70
Sensor 18,20250514,12.49
Sensor 18,20250515,9.47
Sensor 18,20250516,17.68
Sensor 18,20250517,13.21
Sensor 18,20250518,10.87
Sensor 18,20250519,36.23
Sensor 18,20250520,38.32
Sensor 18,20250521,6.03
Sensor 18,20250522,8.14
Sensor 18,20250523,26.84
Sensor 18,20250524,84.66
Sensor 18,20250525,66.45
Sensor 18,20250526,36.68
Sensor 18,20250527,20.36
Sensor 18,20250528,13.50
Sensor 18,20250529,47.86
Sensor 18,20250530,29.58
Sensor 18,20250531,23.61
Sensor 18,20250601,70.08
Sensor 18,20250602,27.20
Sensor 18,20250603,30.55
Sensor 18,20250604,5.58
Sensor 19,20250505,58.18
Sensor 19,20250506,3.98
Sensor 19,20250507,11.55
Sensor 19,20250508,23.47
Sensor 19,20250509,67.93
Sensor 19,20250510,40.16
Sensor 19,20250511,75.33
Sensor 19,20250512,66.84
Sensor 19,20250513,16.01
Sensor 19,20250514,39.97
Sensor 19,20250515,51.12
Sensor 19,20250516,35.50
Sensor 19,20250517,28.08
Sensor 19,20250518,21.84
Sensor 19,20250519,73.26
Sensor 19,20250520,131.73
Sensor 19,20250521,2.15
Sensor 19,20250522,2.29
Sensor 19,20250523,61.45
Sensor 19,20250524,2.93
Sensor 19,20250525,3.14
Sensor 19,20250526,17.14
Sensor 19,20250527,26.74
Sensor 19,20250528,16.54
Sensor 19,20250529,13.39
Sensor 19,20250530,22.27
Sensor 19,20250531,16.51
Sensor 19,20250601,22.95
Sensor 19,20250602,64.88
Sensor 19,20250603,0.00
Sensor 2,.Spotlight-V100,0.00
Sensor 2,20250505,0.99
Sensor 2,20250506,0.68
Sensor 2,20250507,3.19
Sensor 2,20250508,0.72
Sensor 2,20250509,0.08
Sensor 2,20250510,0.32
Sensor 2,20250511,0.38
Sensor 2,20250512,0.62
Sensor 2,20250513,0.47
Sensor 2,20250514,0.18
Sensor 2,20250515,0.36
Sensor 2,20250516,0.61
Sensor 2,20250517,0.11
Sensor 2,20250518,0.07
Sensor 2,20250519,0.05
Sensor 2,20250520,0.05
Sensor 2,20250521,0.47
Sensor 2,20250522,0.02
Sensor 2,20250523,0.00
Sensor 2,20250524,0.01
Sensor 2,20250525,0.02
Sensor 2,20250526,0.77
Sensor 2,20250527,0.18
Sensor 2,20250528,0.11
Sensor 2,20250529,0.17
Sensor 2,20250530,0.12
Sensor 2,20250531,0.03
Sensor 2,20250601,0.19
Sensor 2,20250602,0.08
Sensor 2,20250603,0.05
Sensor 2,20250604,0.10
Sensor 2,20250605,0.00
Sensor 20,20250505,86.03
Sensor 20,20250506,17.77
Sensor 20,20250507,13.11
Sensor 20,20250508,17.13
Sensor 20,20250509,35.82
Sensor 20,20250510,23.60
Sensor 20,20250511,44.65
Sensor 20,20250512,14.76
Sensor 20,20250513,0.60
Sensor 20,20250514,1.11
Sensor 20,20250515,0.78
Sensor 20,20250516,0.73
Sensor 20,20250517,0.27
Sensor 20,20250518,0.36
Sensor 20,20250519,0.06
Sensor 20,20250520,0.82
Sensor 20,20250521,0.22
Sensor 20,20250522,0.15
Sensor 20,20250523,0.00
Sensor 20,20250524,0.13
Sensor 20,20250525,0.18
Sensor 20,20250526,0.74
Sensor 20,20250527,5.49
Sensor 20,20250528,1.99
Sensor 20,20250529,0.35
Sensor 20,20250530,4.00
Sensor 20,20250531,0.13
Sensor 20,20250601,0.62
Sensor 20,20250602,0.05
Sensor 20,New folder,0.00
Sensor 21,.Spotlight-V100,0.00
