sensor, date, amplitude
Sensor 8,20250508,33.74
Sensor 8,20250509,7.67
Sensor 8,20250510,17.03
Sensor 8,20250511,21.69
Sensor 8,20250512,108.77
Sensor 8,20250513,119.55
Sensor 8,20250514,287.52
Sensor 8,20250515,315.77
Sensor 8,20250516,474.12
Sensor 8,20250517,255.13
Sensor 8,20250518,74.63
Sensor 8,20250519,81.00
Sensor 8,20250520,61.77
Sensor 8,20250521,29.10
Sensor 8,20250522,72.05
Sensor 8,20250523,25.20
Sensor 8,20250524,40.27
Sensor 8,20250525,30.89
Sensor 8,20250526,91.71
Sensor 8,20250527,118.91
Sensor 8,20250528,77.00
Sensor 8,20250529,264.58
Sensor 8,20250530,183.30
Sensor 8,20250531,42.46
Sensor 8,20250601,80.15
Sensor 8,20250602,161.29
Sensor 8,20250603,169.05
Sensor 8,20250604,131.52
Sensor 9,20250511,15.82
Sensor 9,20250512,60.65
Sensor 9,20250513,52.84
Sensor 9,20250514,128.70
Sensor 9,20250515,167.47
Sensor 9,20250516,182.65
Sensor 9,20250517,50.18
Sensor 9,20250518,36.18
Sensor 9,20250519,9.52
Sensor 9,20250520,16.99
Sensor 9,20250521,15.59
Sensor 9,20250522,19.37
Sensor 9,20250523,8.59
Sensor 9,20250524,7.73
Sensor 9,20250525,16.05
Sensor 9,20250526,37.86
Sensor 9,20250527,59.79
Sensor 9,20250528,27.74
Sensor 9,20250529,100.12
Sensor 9,20250530,64.51
Sensor 9,20250531,5.18
Sensor 9,20250601,34.65
Sensor 9,20250602,39.73
Sensor 9,20250603,49.52
Sensor 9,20250604,34.65
Sensor 1,20250605,0.00
Sensor 1,20250606,0.04
Sensor 1,20250607,0.11
Sensor 1,20250608,0.05
Sensor 1,20250609,0.07
Sensor 1,20250610,0.10
Sensor 1,20250611,0.18
Sensor 1,20250612,0.09
Sensor 1,20250613,0.03
Sensor 1,20250614,0.05
Sensor 1,20250615,0.17
Sensor 1,20250616,0.10
Sensor 1,20250617,0.08
Sensor 1,20250618,0.01
Sensor 1,20250619,0.04
Sensor 1,20250620,0.01
Sensor 1,20250621,0.11
Sensor 1,20250622,0.03
Sensor 1,20250623,0.07
Sensor 1,20250624,0.01
Sensor 1,20250625,0.08
Sensor 1,20250626,0.00
Sensor 1,20250627,0.04
Sensor 1,20250628,0.00
Sensor 1,20250629,0.00
Sensor 1,20250630,0.03
Sensor 1,20250701,0.03
Sensor 1,20250702,0.02
Sensor 1,20250703,0.00
Sensor 10,20250606,27.61
Sensor 10,20250607,25.22
Sensor 10,20250608,36.41
Sensor 10,20250609,49.50
Sensor 10,20250610,75.19
Sensor 10,20250611,104.91
Sensor 10,20250612,56.17
Sensor 10,20250613,35.47
Sensor 10,20250614,29.69
Sensor 10,20250615,28.36
Sensor 10,20250616,51.47
Sensor 10,20250617,41.26
Sensor 10,20250618,84.51
Sensor 10,20250619,25.76
Sensor 10,20250620,4.69
Sensor 10,20250621,4.02
Sensor 10,20250622,6.45
Sensor 10,20250623,6.14
Sensor 10,20250624,4.88
Sensor 10,20250625,1.35
Sensor 10,20250626,3.23
Sensor 10,20250627,3.97
Sensor 10,20250628,2.06
Sensor 10,20250629,1.07
Sensor 10,20250630,2.51
Sensor 10,20250701,2.21
Sensor 10,20250702,4.29
Sensor 10,20250703,0.94
Sensor 10,20250704,1.34
Sensor 10,20250705,0.79
Sensor 10,20250706,4.85
Sensor 11,20250606,5.53
Sensor 11,20250607,7.15
Sensor 11,20250608,44.43
Sensor 11,20250609,27.07
Sensor 11,20250610,24.22
Sensor 11,20250611,26.19
Sensor 11,20250612,21.82
Sensor 11,20250613,26.84
Sensor 11,20250614,17.73
Sensor 12,20250606,18.95
Sensor 12,20250607,7.75
Sensor 12,20250608,0.00
Sensor 12,20250609,0.00
Sensor 12,20250610,0.00
Sensor 12,20250611,0.00
Sensor 12,20250612,0.00
Sensor 12,20250613,0.00
Sensor 14,20250606,11.35
Sensor 14,20250607,14.54
Sensor 14,20250608,20.08
Sensor 14,20250609,16.37
Sensor 14,20250610,39.58
Sensor 14,20250611,51.81
Sensor 14,20250612,65.19
Sensor 14,20250613,43.05
Sensor 14,20250614,23.84
Sensor 14,20250615,16.47
Sensor 14,20250616,8.75
Sensor 14,20250617,11.21
Sensor 14,20250618,19.44
Sensor 14,20250619,8.88
Sensor 14,20250620,1.26
Sensor 14,20250621,1.58
Sensor 14,20250622,2.07
Sensor 14,20250623,1.48
Sensor 14,20250624,0.79
Sensor 14,20250625,1.94
Sensor 14,20250626,1.30
Sensor 14,20250627,1.10
Sensor 14,20250628,0.66
Sensor 14,20250629,0.73
Sensor 14,20250630,1.06
Sensor 14,20250701,4.63
Sensor 14,20250702,2.23
Sensor 14,20250703,0.44
Sensor 14,20250704,0.00
Sensor 15,20250606,10.00
Sensor 15,20250607,12.58
Sensor 15,20250608,107.43
Sensor 15,20250609,31.69
Sensor 15,20250610,27.03
Sensor 15,20250611,34.22
Sensor 15,20250612,36.90
Sensor 15,20250613,64.87
Sensor 15,20250614,45.49
Sensor 15,20250615,4.08
Sensor 15,20250616,2.30
Sensor 15,20250617,5.04
Sensor 15,20250618,3.83
Sensor 15,20250619,4.57
Sensor 15,20250620,3.02
Sensor 15,20250621,2.55
Sensor 15,20250622,4.87
Sensor 15,20250623,2.75
Sensor 15,20250624,4.06
Sensor 15,20250625,2.85
Sensor 15,20250626,11.75
Sensor 15,20250627,2.33
Sensor 15,20250628,1.95
Sensor 15,20250629,1.65
Sensor 15,20250630,1.57
Sensor 15,20250701,2.03
Sensor 15,20250702,0.92
Sensor 15,20250703,1.15
Sensor 18,20250606,15.52
Sensor 18,20250607,14.34
Sensor 18,20250608,28.84
Sensor 18,20250609,8.36
Sensor 18,20250610,52.75
Sensor 18,20250611,52.34
Sensor 18,20250612,92.98
Sensor 18,20250613,39.09
Sensor 18,20250614,37.72
Sensor 18,20250615,9.64
Sensor 18,20250616,5.01
Sensor 18,20250617,5.97
Sensor 18,20250618,12.99
Sensor 18,20250619,5.84
Sensor 18,20250620,1.76
Sensor 18,20250621,1.00
Sensor 18,20250622,1.00
Sensor 18,20250623,0.59
Sensor 18,20250624,0.46
Sensor 18,20250625,2.30
Sensor 18,20250626,1.03
Sensor 18,20250627,0.64
Sensor 18,20250628,0.56
Sensor 18,20250629,1.00
Sensor 18,20250630,0.72
Sensor 18,20250701,0.33
Sensor 18,20250702,0.69
Sensor 18,20250703,0.64
Sensor 18,20250704,6.28
Sensor 18,20250705,0.22
Sensor 18,20250706,9.20
Sensor 18,20250707,1.57
Sensor 18,20250708,0.00
Sensor 2,20250605,0.00
Sensor 2,20250606,1.60
Sensor 2,20250607,0.68
Sensor 2,20250608,0.64
Sensor 2,20250609,0.88
Sensor 2,20250610,1.29
Sensor 2,20250611,2.22
Sensor 2,20250612,0.69
Sensor 2,20250613,0.34
Sensor 2,20250614,0.60
Sensor 2,20250615,1.22
Sensor 2,20250616,0.57
Sensor 2,20250617,0.15
Sensor 2,20250618,0.15
Sensor 2,20250619,0.14
Sensor 2,20250620,0.00
Sensor 2,20250621,0.13
Sensor 2,20250622,0.03
Sensor 2,20250623,0.12
Sensor 2,20250624,0.02
Sensor 2,20250625,0.02
Sensor 2,20250626,0.00
Sensor 2,20250627,0.04
Sensor 2,20250628,0.00
Sensor 2,20250629,0.01
Sensor 2,20250630,0.02
Sensor 2,20250701,0.07
Sensor 2,20250702,0.04
Sensor 2,20250703,0.01
Sensor 2,20250704,0.02
Sensor 2,20250705,0.01
Sensor 20,20250606,28.94
Sensor 20,20250607,45.88
